"name","bpm","genre","start time","end time","playtime","deck"
"WHISKEY WHISKEY (Intro Dirty)","76","Hip Hop","12:01:28 AM CDT","12:03:33 AM CDT","00:02:05","2"
"A Bar Song (Tipsy) (Refresh Slam Edit) (Dirty Extended)","81","Country","12:02:29 AM CDT","12:04:54 AM CDT","00:02:25","1"
"Yeah! (feat. Lil Jon & Ludacris)","105","Hip Hop","12:03:33 AM CDT","12:08:09 AM CDT","00:04:36","2"
"Get Low (feat. Ying Yang Twins)","101","Dirty South","12:04:54 AM CDT","12:09:44 AM CDT","00:04:50","1"
"Goodies","102","R&B","12:08:09 AM CDT","12:11:11 AM CDT","00:03:02","2"
"The Humpty Dance (Intro Clean)","104","Hip Hop","12:10:25 AM CDT","12:12:08 AM CDT","00:01:43","1"
"This Is How We Do It (Intro Clean)","104","Hip Hop","12:11:11 AM CDT","12:14:54 AM CDT","00:03:43","2"
"Espresso (Ardent 'Black Coffee' Intro) Dirty","104","Pop / Top 40","12:12:08 AM CDT","12:14:14 AM CDT","00:02:06","1"
"Freek-A-Leek","105","Hip-Hop/Rap","12:14:14 AM CDT","12:16:46 AM CDT","00:02:32","1"
"Give It To Me (Refresh Epic Intro) (Clean Extended)","111","Pop","12:15:19 AM CDT","12:17:39 AM CDT","00:02:20","2"
"One, Two Step (feat. Missy Elliott)","113","R&B/Soul","12:16:46 AM CDT","12:19:40 AM CDT","00:02:54","1"
"Hypnotized (Intro Dirty)","117","Hip Hop","12:17:39 AM CDT","12:20:43 AM CDT","00:03:04","2"
"Dynamite (JPTheDJ Acapella Break Edit) (Clean Extended)","120","Pop","12:19:40 AM CDT","12:24:05 AM CDT","00:04:25","1"
"Cha Cha Slide (Intro Clean)","122","Dance","12:20:43 AM CDT","12:25:45 AM CDT","00:05:02","2"
"Cupid Shuffle","144","","12:24:05 AM CDT","12:29:11 AM CDT","00:05:06","1"
"WAP (MR. COLLIPARK Remix) (Dirty Short Edit)","130","Twerk","12:28:20 AM CDT","12:31:10 AM CDT","00:02:50","2"
"Cry Baby (Intro Dirty)","130","Hip Hop","12:29:11 AM CDT","12:32:15 AM CDT","00:03:04","1"
"I'm Good (Blue) (Clean Extended)","128","Dance Pop","12:31:10 AM CDT","12:33:31 AM CDT","00:02:21","2"
"Like A G6 (R-You Bootleg) (Clean Extended)","132","House","12:32:15 AM CDT","12:34:40 AM CDT","00:02:25","1"
"Mezcal Bounce (Extended Mix) Clean","132","House","12:33:31 AM CDT","12:35:39 AM CDT","00:02:08","2"
"Glamorous (Intro Clean)","131","Pop","12:34:40 AM CDT","12:36:34 AM CDT","00:01:54","1"
"Sexy Bitch (Smassh Epic Synth Quick Hitter) Dirty","130","Dance","12:35:39 AM CDT","12:38:01 AM CDT","00:02:22","2"
"Boom Boom Pow (Intro Dirty)","130","Hip Hop","12:36:34 AM CDT","12:40:43 AM CDT","00:04:09","1"
"Baby (Intro Clean)","130","Pop","12:38:01 AM CDT","12:43:22 AM CDT","00:05:21","2"
"What's Next (Intro Dirty)","130","Hip Hop","12:42:38 AM CDT","12:44:49 AM CDT","00:02:11","1"
"Sticky (Cesar Castilla 'Calypso' Vip Edit) (Dirty)","128","Tech House","12:43:46 AM CDT","12:47:11 AM CDT","00:03:25","2"
"Cloonee - Sippin' Yak","127","","12:45:44 AM CDT","12:49:10 AM CDT","00:03:26","1"
